index,input,output
0,-1.00000000,0.00000000
1,-0.99215686,0.00000000
2,-0.98431373,0.00000000
3,-0.97647059,0.00000000
4,-0.96862745,0.00000000
5,-0.96078432,0.00000000
6,-0.95294118,0.00000000
7,-0.94509804,0.00000000
8,-0.93725491,0.00000000
9,-0.92941177,0.00000000
10,-0.92156863,0.00000000
11,-0.91372550,0.00000000
12,-0.90588236,0.00000000
13,-0.89803922,0.00000000
14,-0.89019608,0.00000000
15,-0.88235295,0.00000000
16,-0.87450981,0.00000000
17,-0.86666667,0.00000000
18,-0.85882354,0.00000000
19,-0.85098040,0.00000000
20,-0.84313726,0.00000000
21,-0.83529413,0.00000000
22,-0.82745099,0.00000000
23,-0.81960785,0.00000000
24,-0.81176472,0.00000000
25,-0.80392158,0.00000000
26,-0.79607844,0.00000000
27,-0.78823531,0.00000000
28,-0.78039217,0.00000000
29,-0.77254903,0.00000000
30,-0.76470590,0.00000000
31,-0.75686276,0.00000000
32,-0.74901962,0.00000000
33,-0.74117649,0.00000000
34,-0.73333335,0.00000000
35,-0.72549021,0.00000000
36,-0.71764708,0.00000000
37,-0.70980394,0.00000000
38,-0.70196080,0.00000000
39,-0.69411767,0.00000000
40,-0.68627453,0.00000000
41,-0.67843139,0.00000000
42,-0.67058825,0.00000000
43,-0.66274512,0.00000000
44,-0.65490198,0.00000000
45,-0.64705884,0.00000000
46,-0.63921571,0.00000000
47,-0.63137257,0.00000000
48,-0.62352937,0.00000000
49,-0.61568624,0.00000000
50,-0.60784310,0.00000000
51,-0.59999996,0.00000000
52,-0.59215683,0.00000000
53,-0.58431369,0.00000000
54,-0.57647055,0.00000000
55,-0.56862742,0.00000000
56,-0.56078428,0.00000000
57,-0.55294114,0.00000000
58,-0.54509801,0.00000000
59,-0.53725487,0.00000000
60,-0.52941173,0.00000000
61,-0.52156860,0.00000000
62,-0.51372546,0.00000000
63,-0.50588232,0.00000000
64,-0.49803919,0.00000000
65,-0.49019605,0.00000000
66,-0.48235291,0.00000000
67,-0.47450978,0.00000000
68,-0.46666664,0.00000000
69,-0.45882350,0.00000000
70,-0.45098037,0.00000000
71,-0.44313723,0.00000000
72,-0.43529409,0.00000000
73,-0.42745095,0.00000000
74,-0.41960782,0.00000000
75,-0.41176468,0.00000000
76,-0.40392154,0.00000000
77,-0.39607841,0.00000000
78,-0.38823527,0.00000000
79,-0.38039213,0.00000000
80,-0.37254900,0.00000000
81,-0.36470586,0.00000000
82,-0.35686272,0.00000000
83,-0.34901959,0.00000000
84,-0.34117645,0.00000000
85,-0.33333331,0.00000000
86,-0.32549018,0.00000000
87,-0.31764704,0.00000000
88,-0.30980390,0.00000000
89,-0.30196077,0.00000000
90,-0.29411763,0.00000000
91,-0.28627449,0.00000000
92,-0.27843136,0.00000000
93,-0.27058822,0.00000000
94,-0.26274508,0.00000000
95,-0.25490195,0.00000000
96,-0.24705875,0.00000000
97,-0.23921561,0.00000000
98,-0.23137248,0.00000000
99,-0.22352934,0.00000000
100,-0.21568620,0.00000000
101,-0.20784307,0.00000000
102,-0.19999993,0.00000000
103,-0.19215679,0.00000000
104,-0.18431365,0.00000000
105,-0.17647052,0.00000000
106,-0.16862738,0.00000000
107,-0.16078424,0.00000000
108,-0.15294111,0.00000000
109,-0.14509797,0.00000000
110,-0.13725483,0.00000000
111,-0.12941170,0.00000000
112,-0.12156856,0.00000000
113,-0.11372542,0.00000000
114,-0.10588229,0.00000000
115,-0.09803915,0.00000000
116,-0.09019601,0.00000000
117,-0.08235288,0.00000000
118,-0.07450974,0.00000000
119,-0.06666660,0.00000000
120,-0.05882347,0.00000000
121,-0.05098033,0.00000000
122,-0.04313719,0.00000000
123,-0.03529406,0.00000000
124,-0.02745092,0.00000000
125,-0.01960778,0.00000000
126,-0.01176465,0.00000000
127,-0.00392151,0.00000000
128,0.00392163,0.00392157
129,0.01176476,0.01176471
130,0.01960790,0.01960784
131,0.02745104,0.02745098
132,0.03529418,0.03529412
133,0.04313731,0.04313726
134,0.05098045,0.05098040
135,0.05882359,0.05882353
136,0.06666672,0.06666667
137,0.07450986,0.07450981
138,0.08235300,0.08235294
139,0.09019613,0.09019608
140,0.09803927,0.09803922
141,0.10588241,0.10588236
142,0.11372554,0.11372550
143,0.12156868,0.12156864
144,0.12941182,0.12941177
145,0.13725495,0.13725491
146,0.14509809,0.14509805
147,0.15294123,0.15294118
148,0.16078436,0.16078432
149,0.16862750,0.16862746
150,0.17647064,0.17647059
151,0.18431377,0.18431373
152,0.19215691,0.19215688
153,0.20000005,0.20000002
154,0.20784318,0.20784315
155,0.21568632,0.21568629
156,0.22352946,0.22352943
157,0.23137259,0.23137257
158,0.23921573,0.23921570
159,0.24705887,0.24705884
160,0.25490201,0.25490198
161,0.26274514,0.26274511
162,0.27058828,0.27058825
163,0.27843142,0.27843139
164,0.28627455,0.28627452
165,0.29411769,0.29411766
166,0.30196083,0.30196080
167,0.30980396,0.30980393
168,0.31764710,0.31764707
169,0.32549024,0.32549021
170,0.33333337,0.33333334
171,0.34117651,0.34117648
172,0.34901965,0.34901962
173,0.35686278,0.35686275
174,0.36470592,0.36470589
175,0.37254906,0.37254903
176,0.38039219,0.38039219
177,0.38823533,0.38823533
178,0.39607847,0.39607847
179,0.40392160,0.40392160
180,0.41176474,0.41176474
181,0.41960788,0.41960788
182,0.42745101,0.42745101
183,0.43529415,0.43529415
184,0.44313729,0.44313729
185,0.45098042,0.45098042
186,0.45882356,0.45882356
187,0.46666670,0.46666670
188,0.47450984,0.47450984
189,0.48235297,0.48235297
190,0.49019611,0.49019611
191,0.49803925,0.49803925
192,0.50588250,0.50588238
193,0.51372564,0.51372552
194,0.52156878,0.52156866
195,0.52941191,0.52941179
196,0.53725505,0.53725493
197,0.54509819,0.54509807
198,0.55294132,0.55294120
199,0.56078446,0.56078434
200,0.56862760,0.56862748
201,0.57647073,0.57647061
202,0.58431387,0.58431375
203,0.59215701,0.59215689
204,0.60000014,0.60000002
205,0.60784328,0.60784316
206,0.61568642,0.61568630
207,0.62352955,0.62352943
208,0.63137269,0.63137257
209,0.63921583,0.63921571
210,0.64705896,0.64705884
211,0.65490210,0.65490198
212,0.66274524,0.66274512
213,0.67058837,0.67058825
214,0.67843151,0.67843139
215,0.68627465,0.68627453
216,0.69411778,0.69411767
217,0.70196092,0.70196080
218,0.70980406,0.70980394
219,0.71764719,0.71764708
220,0.72549033,0.72549021
221,0.73333347,0.73333335
222,0.74117661,0.74117649
223,0.74901974,0.74901962
224,0.75686288,0.75686282
225,0.76470602,0.76470596
226,0.77254915,0.77254909
227,0.78039229,0.78039223
228,0.78823543,0.78823537
229,0.79607856,0.79607850
230,0.80392170,0.80392164
231,0.81176484,0.81176478
232,0.81960797,0.81960791
233,0.82745111,0.82745105
234,0.83529425,0.83529419
235,0.84313738,0.84313732
236,0.85098052,0.85098046
237,0.85882366,0.85882360
238,0.86666679,0.86666673
239,0.87450993,0.87450987
240,0.88235307,0.88235301
241,0.89019620,0.89019614
242,0.89803934,0.89803928
243,0.90588248,0.90588242
244,0.91372561,0.91372555
245,0.92156875,0.92156869
246,0.92941189,0.92941183
247,0.93725502,0.93725497
248,0.94509816,0.94509810
249,0.95294130,0.95294124
250,0.96078444,0.96078438
251,0.96862757,0.96862751
252,0.97647071,0.97647065
253,0.98431385,0.98431379
254,0.99215698,0.99215692
255,1.00000000,1.00000000
